agent_id,n,exact,ordinal,mae,bias
164.0,6,0.0,0.833,1.5,1.5
174.0,6,0.167,0.667,1.333,1.333
332.0,6,0.0,0.0,2.0,2.0
357.0,6,0.167,0.833,1.0,-0.333
485.0,6,0.5,0.833,0.667,0.667
516.0,6,0.0,0.667,2.167,0.833
519.0,6,0.5,1.0,0.5,0.167
528.0,6,0.833,1.0,0.167,0.167
529.0,6,0.5,1.0,0.5,-0.5
541.0,6,0.167,0.833,1.167,0.167
574.0,6,0.167,1.0,0.833,-0.167
579.0,6,0.667,0.833,0.667,0.333
771.0,6,0.5,0.667,1.0,0.333
853.0,6,0.167,0.667,1.833,-0.167
861.0,6,0.667,1.0,0.333,0.0
991.0,6,0.167,0.5,1.333,0.667
1218.0,6,0.667,0.833,0.667,0.333
1244.0,6,0.333,0.833,0.833,-0.5
1309.0,6,0.167,0.5,2.333,2.333
1318.0,6,0.333,0.833,1.0,0.333
1327.0,6,0.0,0.833,1.5,-0.167
1339.0,6,0.0,0.0,2.667,2.667
1450.0,6,0.667,0.833,0.5,0.5
1540.0,6,0.333,0.833,0.833,0.833
1545.0,6,0.0,0.667,1.333,0.0
1555.0,6,0.0,0.667,1.5,-1.5
1730.0,6,0.667,0.833,0.5,-0.5
1821.0,6,0.167,0.5,1.5,1.5
1923.0,6,0.0,0.5,1.5,1.5
1932.0,6,0.167,0.167,2.167,-2.167
