question_id,condition,n_rows,mean_ordinal_accuracy_score,exact_match_rate
Q1,original,100,0.8533333333333334,0.46
Q1,shuffled,100,0.7766666666666666,0.35
Q1,neutral,100,0.8183333333333331,0.21
Q2,original,100,0.7166666666666666,0.27
Q2,shuffled,100,0.63,0.17
Q2,neutral,100,0.7433333333333334,0.26
Q3,original,100,0.6433333333333334,0.17
Q3,shuffled,100,0.6066666666666667,0.16
Q3,neutral,100,0.7366666666666667,0.22
Q4,original,100,0.825,0.46
Q4,shuffled,100,0.7433333333333334,0.34
Q4,neutral,100,0.8016666666666665,0.22
Q5,original,100,0.7033333333333331,0.19
Q5,shuffled,100,0.6283333333333335,0.08
Q5,neutral,100,0.7716666666666666,0.26
Q6,original,100,0.6433333333333334,0.17
Q6,shuffled,100,0.5383333333333333,0.08
Q6,neutral,100,0.765,0.27
