question_id,stance,expected_count,predicted_count,n_rows,expected_share,predicted_share,share_delta_pred_minus_expected
Q1,Oppose,8,5,100,0.08,0.05,-0.03
Q1,Neutral,9,5,100,0.09,0.05,-0.039999999999999994
Q1,Support,83,90,100,0.83,0.9,0.07000000000000006
Q2,Oppose,29,28,100,0.29,0.28,-0.009999999999999953
Q2,Neutral,22,3,100,0.22,0.03,-0.19
Q2,Support,49,69,100,0.49,0.69,0.19999999999999996
Q3,Oppose,35,26,100,0.35,0.26,-0.08999999999999997
Q3,Neutral,18,3,100,0.18,0.03,-0.15
Q3,Support,47,71,100,0.47,0.71,0.24
Q4,Oppose,8,9,100,0.08,0.09,0.009999999999999995
Q4,Neutral,12,0,100,0.12,0.0,-0.12
Q4,Support,80,91,100,0.8,0.91,0.10999999999999999
Q5,Oppose,16,15,100,0.16,0.15,-0.010000000000000009
Q5,Neutral,26,4,100,0.26,0.04,-0.22
Q5,Support,58,81,100,0.58,0.81,0.2300000000000001
Q6,Oppose,29,27,100,0.29,0.27,-0.019999999999999962
Q6,Neutral,26,7,100,0.26,0.07,-0.19
Q6,Support,45,66,100,0.45,0.66,0.21000000000000002
