persona_mode,question_id,stance,expected_count,predicted_count,n_rows,expected_share,predicted_share,share_delta_pred_minus_expected
compressed_full,Q1,Neutral,1.0,12.0,30,0.03333333333333333,0.4,0.3666666666666667
compressed_full,Q1,Oppose,3.0,0.0,30,0.1,0.0,-0.1
compressed_full,Q1,Support,26.0,18.0,30,0.8666666666666667,0.6,-0.2666666666666667
compressed_full,Q2,Neutral,6.0,12.0,30,0.2,0.4,0.2
compressed_full,Q2,Oppose,8.0,2.0,30,0.26666666666666666,0.06666666666666667,-0.2
compressed_full,Q2,Support,16.0,16.0,30,0.5333333333333333,0.5333333333333333,0.0
compressed_full,Q3,Neutral,5.0,14.0,30,0.16666666666666666,0.4666666666666667,0.30000000000000004
compressed_full,Q3,Oppose,11.0,4.0,30,0.36666666666666664,0.13333333333333333,-0.2333333333333333
compressed_full,Q3,Support,14.0,12.0,30,0.4666666666666667,0.4,-0.06666666666666665
compressed_full,Q4,Neutral,0.0,12.0,30,0.0,0.4,0.4
compressed_full,Q4,Oppose,2.0,0.0,30,0.06666666666666667,0.0,-0.06666666666666667
compressed_full,Q4,Support,28.0,18.0,30,0.9333333333333333,0.6,-0.33333333333333337
compressed_full,Q5,Neutral,8.0,14.0,30,0.26666666666666666,0.4666666666666667,0.2
compressed_full,Q5,Oppose,5.0,0.0,30,0.16666666666666666,0.0,-0.16666666666666666
compressed_full,Q5,Support,17.0,16.0,30,0.5666666666666667,0.5333333333333333,-0.033333333333333326
compressed_full,Q6,Neutral,9.0,12.0,30,0.3,0.4,0.10000000000000003
compressed_full,Q6,Oppose,9.0,1.0,30,0.3,0.03333333333333333,-0.26666666666666666
compressed_full,Q6,Support,12.0,17.0,30,0.4,0.5666666666666667,0.16666666666666663
demographics_politics_only,Q1,Neutral,1.0,13.0,30,0.03333333333333333,0.43333333333333335,0.4
demographics_politics_only,Q1,Oppose,3.0,0.0,30,0.1,0.0,-0.1
demographics_politics_only,Q1,Support,26.0,17.0,30,0.8666666666666667,0.5666666666666667,-0.30000000000000004
demographics_politics_only,Q2,Neutral,6.0,15.0,30,0.2,0.5,0.3
demographics_politics_only,Q2,Oppose,8.0,1.0,30,0.26666666666666666,0.03333333333333333,-0.23333333333333334
demographics_politics_only,Q2,Support,16.0,14.0,30,0.5333333333333333,0.4666666666666667,-0.06666666666666665
demographics_politics_only,Q3,Neutral,5.0,21.0,30,0.16666666666666666,0.7,0.5333333333333333
demographics_politics_only,Q3,Oppose,11.0,2.0,30,0.36666666666666664,0.06666666666666667,-0.3
demographics_politics_only,Q3,Support,14.0,7.0,30,0.4666666666666667,0.23333333333333334,-0.23333333333333334
demographics_politics_only,Q4,Neutral,0.0,12.0,30,0.0,0.4,0.4
demographics_politics_only,Q4,Oppose,2.0,0.0,30,0.06666666666666667,0.0,-0.06666666666666667
demographics_politics_only,Q4,Support,28.0,18.0,30,0.9333333333333333,0.6,-0.33333333333333337
demographics_politics_only,Q5,Neutral,8.0,16.0,30,0.26666666666666666,0.5333333333333333,0.26666666666666666
demographics_politics_only,Q5,Oppose,5.0,0.0,30,0.16666666666666666,0.0,-0.16666666666666666
demographics_politics_only,Q5,Support,17.0,14.0,30,0.5666666666666667,0.4666666666666667,-0.09999999999999998
demographics_politics_only,Q6,Neutral,9.0,17.0,30,0.3,0.5666666666666667,0.26666666666666666
demographics_politics_only,Q6,Oppose,9.0,1.0,30,0.3,0.03333333333333333,-0.26666666666666666
demographics_politics_only,Q6,Support,12.0,12.0,30,0.4,0.4,0.0
full_persona,Q1,Neutral,1.0,9.0,30,0.03333333333333333,0.3,0.26666666666666666
full_persona,Q1,Oppose,3.0,0.0,30,0.1,0.0,-0.1
