policy_id,day,n_agents,n_support,support_pct,n_neutral,neutral_pct,n_against,against_pct
ClimatePolicyID(1),0,30,24,80.0,5,16.666666666666664,1,3.3333333333333335
ClimatePolicyID(1),1,30,28,93.33333333333333,1,3.3333333333333335,1,3.3333333333333335
ClimatePolicyID(1),2,30,28,93.33333333333333,1,3.3333333333333335,1,3.3333333333333335
ClimatePolicyID(1),3,30,28,93.33333333333333,1,3.3333333333333335,1,3.3333333333333335
ClimatePolicyID(1),4,30,29,96.66666666666667,1,3.3333333333333335,0,0.0
ClimatePolicyID(1),5,30,27,90.0,2,6.666666666666667,1,3.3333333333333335
ClimatePolicyID(1),6,30,28,93.33333333333333,1,3.3333333333333335,1,3.3333333333333335
ClimatePolicyID(1),7,30,27,90.0,2,6.666666666666667,1,3.3333333333333335
ClimatePolicyID(2),0,30,17,56.666666666666664,7,23.333333333333332,6,20.0
ClimatePolicyID(2),1,30,20,66.66666666666666,2,6.666666666666667,8,26.666666666666668
ClimatePolicyID(2),2,30,20,66.66666666666666,4,13.333333333333334,6,20.0
ClimatePolicyID(2),3,30,20,66.66666666666666,3,10.0,7,23.333333333333332
ClimatePolicyID(2),4,30,20,66.66666666666666,4,13.333333333333334,6,20.0
ClimatePolicyID(2),5,30,21,70.0,2,6.666666666666667,7,23.333333333333332
ClimatePolicyID(2),6,30,20,66.66666666666666,4,13.333333333333334,6,20.0
ClimatePolicyID(2),7,30,21,70.0,3,10.0,6,20.0
ClimatePolicyID(3),0,30,15,50.0,7,23.333333333333332,8,26.666666666666668
ClimatePolicyID(3),1,30,19,63.33333333333333,0,0.0,11,36.666666666666664
ClimatePolicyID(3),2,30,19,63.33333333333333,0,0.0,11,36.666666666666664
ClimatePolicyID(3),3,30,20,66.66666666666666,0,0.0,10,33.33333333333333
ClimatePolicyID(3),4,30,19,63.33333333333333,0,0.0,11,36.666666666666664
ClimatePolicyID(3),5,30,18,60.0,1,3.3333333333333335,11,36.666666666666664
ClimatePolicyID(3),6,30,19,63.33333333333333,0,0.0,11,36.666666666666664
ClimatePolicyID(3),7,30,19,63.33333333333333,0,0.0,11,36.666666666666664
ClimatePolicyID(4),0,30,22,73.33333333333333,7,23.333333333333332,1,3.3333333333333335
ClimatePolicyID(4),1,30,23,76.66666666666667,2,6.666666666666667,5,16.666666666666664
ClimatePolicyID(4),2,30,24,80.0,0,0.0,6,20.0
ClimatePolicyID(4),3,30,24,80.0,0,0.0,6,20.0
ClimatePolicyID(4),4,30,26,86.66666666666667,1,3.3333333333333335,3,10.0
ClimatePolicyID(4),5,30,25,83.33333333333334,2,6.666666666666667,3,10.0
ClimatePolicyID(4),6,30,26,86.66666666666667,1,3.3333333333333335,3,10.0
ClimatePolicyID(4),7,30,24,80.0,0,0.0,6,20.0
ClimatePolicyID(5),0,30,16,53.333333333333336,9,30.0,5,16.666666666666664
ClimatePolicyID(5),1,30,25,83.33333333333334,0,0.0,5,16.666666666666664
ClimatePolicyID(5),2,30,25,83.33333333333334,0,0.0,5,16.666666666666664
ClimatePolicyID(5),3,30,23,76.66666666666667,1,3.3333333333333335,6,20.0
ClimatePolicyID(5),4,30,24,80.0,2,6.666666666666667,4,13.333333333333334
ClimatePolicyID(5),5,30,24,80.0,2,6.666666666666667,4,13.333333333333334
ClimatePolicyID(5),6,30,24,80.0,1,3.3333333333333335,5,16.666666666666664
ClimatePolicyID(5),7,30,25,83.33333333333334,0,0.0,5,16.666666666666664
ClimatePolicyID(6),0,30,12,40.0,9,30.0,9,30.0
ClimatePolicyID(6),1,30,20,66.66666666666666,3,10.0,7,23.333333333333332
ClimatePolicyID(6),2,30,19,63.33333333333333,3,10.0,8,26.666666666666668
ClimatePolicyID(6),3,30,19,63.33333333333333,4,13.333333333333334,7,23.333333333333332
ClimatePolicyID(6),4,30,19,63.33333333333333,4,13.333333333333334,7,23.333333333333332
ClimatePolicyID(6),5,30,16,53.333333333333336,6,20.0,8,26.666666666666668
ClimatePolicyID(6),6,30,18,60.0,4,13.333333333333334,8,26.666666666666668
ClimatePolicyID(6),7,30,19,63.33333333333333,4,13.333333333333334,7,23.333333333333332
