policy_id,day,n_agents,n_support,support_pct,n_neutral,neutral_pct,n_against,against_pct
ClimatePolicyID(1),0,10,10,100.0,0,0.0,0,0.0
ClimatePolicyID(1),1,10,10,100.0,0,0.0,0,0.0
ClimatePolicyID(1),2,10,10,100.0,0,0.0,0,0.0
ClimatePolicyID(2),0,10,4,40.0,4,40.0,2,20.0
ClimatePolicyID(2),1,10,8,80.0,0,0.0,2,20.0
ClimatePolicyID(2),2,10,8,80.0,1,10.0,1,10.0
ClimatePolicyID(3),0,10,4,40.0,3,30.0,3,30.0
ClimatePolicyID(3),1,10,7,70.0,0,0.0,3,30.0
ClimatePolicyID(3),2,10,7,70.0,0,0.0,3,30.0
ClimatePolicyID(4),0,10,8,80.0,1,10.0,1,10.0
ClimatePolicyID(4),1,10,9,90.0,0,0.0,1,10.0
ClimatePolicyID(4),2,10,10,100.0,0,0.0,0,0.0
ClimatePolicyID(5),0,10,6,60.0,3,30.0,1,10.0
ClimatePolicyID(5),1,10,9,90.0,0,0.0,1,10.0
ClimatePolicyID(5),2,10,9,90.0,0,0.0,1,10.0
ClimatePolicyID(6),0,10,4,40.0,2,20.0,4,40.0
ClimatePolicyID(6),1,10,6,60.0,0,0.0,4,40.0
ClimatePolicyID(6),2,10,6,60.0,0,0.0,4,40.0
