policy_id,day,n_agents,n_support,support_pct,n_neutral,neutral_pct,n_against,against_pct
ClimatePolicyID(1),0,50,43,86.0,4,8.0,3,6.0
ClimatePolicyID(1),1,50,46,92.0,1,2.0,3,6.0
ClimatePolicyID(1),2,50,47,94.0,0,0.0,3,6.0
ClimatePolicyID(1),3,50,48,96.0,0,0.0,2,4.0
ClimatePolicyID(1),4,50,46,92.0,1,2.0,3,6.0
ClimatePolicyID(1),5,50,48,96.0,0,0.0,2,4.0
ClimatePolicyID(1),6,50,47,94.0,1,2.0,2,4.0
ClimatePolicyID(1),7,50,48,96.0,0,0.0,2,4.0
ClimatePolicyID(2),0,50,18,36.0,19,38.0,13,26.0
ClimatePolicyID(2),1,50,38,76.0,2,4.0,10,20.0
ClimatePolicyID(2),2,50,38,76.0,2,4.0,10,20.0
ClimatePolicyID(2),3,50,39,78.0,1,2.0,10,20.0
ClimatePolicyID(2),4,50,38,76.0,2,4.0,10,20.0
ClimatePolicyID(2),5,50,38,76.0,2,4.0,10,20.0
ClimatePolicyID(2),6,50,38,76.0,2,4.0,10,20.0
ClimatePolicyID(2),7,50,39,78.0,1,2.0,10,20.0
ClimatePolicyID(3),0,50,17,34.0,10,20.0,23,46.0
ClimatePolicyID(3),1,50,27,54.0,1,2.0,22,44.0
ClimatePolicyID(3),2,50,30,60.0,1,2.0,19,38.0
ClimatePolicyID(3),3,50,30,60.0,1,2.0,19,38.0
ClimatePolicyID(3),4,50,31,62.0,1,2.0,18,36.0
ClimatePolicyID(3),5,50,28,56.00000000000001,1,2.0,21,42.0
ClimatePolicyID(3),6,50,30,60.0,1,2.0,19,38.0
ClimatePolicyID(3),7,50,32,64.0,1,2.0,17,34.0
ClimatePolicyID(4),0,50,37,74.0,7,14.000000000000002,6,12.0
ClimatePolicyID(4),1,50,44,88.0,1,2.0,5,10.0
ClimatePolicyID(4),2,50,44,88.0,1,2.0,5,10.0
ClimatePolicyID(4),3,50,44,88.0,1,2.0,5,10.0
ClimatePolicyID(4),4,50,46,92.0,0,0.0,4,8.0
ClimatePolicyID(4),5,50,44,88.0,1,2.0,5,10.0
ClimatePolicyID(4),6,50,45,90.0,0,0.0,5,10.0
ClimatePolicyID(4),7,50,45,90.0,0,0.0,5,10.0
ClimatePolicyID(5),0,50,23,46.0,13,26.0,14,28.000000000000004
ClimatePolicyID(5),1,50,35,70.0,4,8.0,11,22.0
ClimatePolicyID(5),2,50,40,80.0,1,2.0,9,18.0
ClimatePolicyID(5),3,50,38,76.0,1,2.0,11,22.0
ClimatePolicyID(5),4,50,38,76.0,3,6.0,9,18.0
ClimatePolicyID(5),5,50,37,74.0,4,8.0,9,18.0
ClimatePolicyID(5),6,50,38,76.0,3,6.0,9,18.0
ClimatePolicyID(5),7,50,38,76.0,1,2.0,11,22.0
ClimatePolicyID(6),0,50,21,42.0,12,24.0,17,34.0
ClimatePolicyID(6),1,50,34,68.0,0,0.0,16,32.0
ClimatePolicyID(6),2,50,31,62.0,2,4.0,17,34.0
ClimatePolicyID(6),3,50,32,64.0,1,2.0,17,34.0
ClimatePolicyID(6),4,50,34,68.0,0,0.0,16,32.0
ClimatePolicyID(6),5,50,32,64.0,1,2.0,17,34.0
ClimatePolicyID(6),6,50,33,66.0,1,2.0,16,32.0
ClimatePolicyID(6),7,50,33,66.0,1,2.0,16,32.0
