ID,age,profile_gender,tprofile_GOR,profile_education_level,tprofile_gross_household,ethnicity_R,tparent_1,tparent_2,tparent_97,tparent_98,Vote2019R,pastvote_EURef,new_socgrade,politics_scale_profile_update,respdate,W8,page1consentq,page2values1,page2values1_1,page2values1_2,page2values1_3,page2values1_4,page2values1_5,page2values1_6,page2values1_7,page2values1_8,page2values1_9,page2values1a,page2values1a_1,page2values1a_2,page2values1a_3,page2values1a_4,page2values1a_5,page2values1a_6,page2values1a_7,page2values1a_8,page2values1a_9,page3_splitgroups,page3vid_control,page3vid_threat,page3vid_hope,page3vid_justice,page4posttreatment1,page4posttreatment1_1,page4posttreatment1_2,page4posttreatment1_3,page4posttreatment1_4,page4posttreatment2,page4posttreatment2_1,page4posttreatment2_2,page4posttreatment2_3,page4posttreatment2_4,page4posttreatment2_5,page4posttreatment2_6,page4posttreatment3,page4posttreatment3_1,page4posttreatment3_2,page4posttreatment3_3,page4posttreatment3_4,page4posttreatment3_5,page4posttreatment3_6,page4posttreatment3_7,page4posttreatment3_8,page4posttreatment3_9,page4posttreatment3_10,page4posttreatment3_11,page4posttreatment3_12,page4posttreatment3_13,page4posttreatment3_14,page4posttreatment3_15,page4posttreatment3_16,page4posttreatment3_17,page4posttreatment3_18,page4posttreatment3_19,page4posttreatment3_20,page4posttreatment5,page4posttreatment5_1,page4posttreatment5_2,page4posttreatment5_3,page4posttreatment5_4,page4posttreatment5_5,page4posttreatment5_6,page5posttreatment6,page5posttreatment6_1,page5posttreatment6_2,page5posttreatment6_3,page5posttreatment6_4,page5posttreatment6_5,page5posttreatment6_6,page5posttreatment6_7,page5posttreatment6_8,page5posttreatment6_9,page5posttreatment6_10,page5posttreatment6_11,page5posttreatment6_12,page5posttreatment7_1,page5posttreatment7_2,page5posttreatment7_3,page5posttreatment7_4,page5posttreatment7_5,page5posttreatment7_6,page5posttreatment7_7,page5posttreatment7_8,page6posttreatment8,page6posttreatment8_1,page6posttreatment8_2,page6posttreatment8_3,page6posttreatment9scale,page6posttreatment9scale_strangers,page6posttreatment9ascale,page6posttreatment9ascale_government,page6posttreatment9bscale,page6posttreatment9bscale_parliament,page6posttreatment10,page6posttreatment10_1,page6posttreatment10_2,page6posttreatment10_3,page6posttreatment10_4,page6posttreatment10_5,page6posttreatment10_6,page6posttreatment11,page6posttreatment11_1,page6posttreatment11_2,page6posttreatment11_3,page6posttreatment11_4,page6posttreatment11_5,page6posttreatment11_6
1,58,2,10,11,1,1,2,1,2,2,4,2,2,4,4/23/2024,.607524338,1,1,6,6,5,5,3,5,5,1,1,1,5,5,5,5,1,1,1,1,1,1,1,-9,-9,-9,1,8,6,7,6,1,4,3,3,2,6,5,1,1,1,5,4,6,5,1,2,5,5,5,5,3,3,5,6,3,4,5,5,1,5,6,6,4,4,6,1,6,1,1,4,1,6,6,1,1,6,1,6,2,2,2,2,2,2,1,2,1,6,3,2,1,0,1,0,1,0,1,3,3,3,3,3,3,1,5,5,5,5,2,5
2,61,1,2,16,13,2,1,1,2,2,3,1,1,5,4/24/2024,.967505339,1,1,5,6,6,6,6,6,5,6,2,1,4,4,3,6,4,5,2,5,5,1,1,-9,-9,-9,1,9,7,8,4,1,1,2,1,1,7,1,1,1,1,6,7,6,2,4,2,5,4,7,5,1,1,7,7,3,3,6,6,1,1,2,5,3,1,5,1,6,2,3,3,3,5,6,3,6,2,7,6,1,1,1,1,1,1,2,2,1,5,3,7,1,2,1,0,1,0,1,3,3,3,4,3,3,1,4,6,3,6,3,2
3,77,2,7,18,16,2,2,1,2,2,1,2,1,4,4/24/2024,1.026304384,1,1,5,6,5,6,5,5,6,3,5,1,3,3,5,6,6,4,3,2,3,3,-9,-9,1,-9,1,6,7,8,8,1,4,4,5,5,2,5,1,4,5,3,6,5,3,4,4,5,5,4,4,5,4,6,6,4,4,5,6,1,5,5,5,5,5,4,1,5,3,6,2,2,4,6,1,4,4,5,4,1,1,2,2,2,1,2,2,1,6,2,6,1,8,1,8,1,7,1,3,2,3,4,2,2,1,1,5,3,5,1,5
4,57,2,4,5,7,1,2,1,2,2,7,2,2,4,4/24/2024,.747999939,1,1,4,4,5,5,4,4,5,1,2,1,5,6,5,4,3,2,2,2,1,1,1,-9,-9,-9,1,9,6,9,7,1,6,5,5,2,5,7,1,1,4,7,6,5,7,2,5,6,6,5,4,4,1,7,6,4,5,5,4,1,5,5,4,4,4,5,1,5,4,4,5,4,5,5,1,4,4,1,4,2,1,1,2,2,2,2,2,1,5,7,4,1,4,1,2,1,2,1,5,3,2,2,2,1,1,5,5,6,6,6,5
5,69,1,3,16,9,1,2,1,2,2,2,1,1,2,4/24/2024,.98388284,1,1,5,6,2,2,3,4,3,1,3,1,5,4,3,6,3,3,2,2,3,2,-9,1,-9,-9,1,3,4,6,6,1,1,6,1,1,4,4,1,3,3,7,7,1,1,4,5,4,4,4,4,5,1,4,7,6,5,2,4,1,2,3,1,3,2,6,1,7,1,3,5,7,2,7,1,7,1,6,1,1,1,1,1,2,1,2,2,1,3,3,3,1,7,1,2,1,4,1,3,3,3,4,3,3,1,3,5,3,4,5,2
6,81,1,11,18,7,1,2,1,2,2,3,1,1,4,4/24/2024,2.156030894,1,1,6,5,4,5,5,3,5,3,4,1,5,5,4,4,4,5,4,3,3,3,-9,-9,1,-9,1,8,6,9,4,1,6,4,4,2,5,7,1,2,1,7,7,6,5,4,5,7,7,3,3,5,4,5,4,5,6,4,4,1,5,5,5,4,3,6,1,6,1,4,4,4,3,4,3,5,5,3,6,2,1,1,1,2,2,2,2,1,5,4,6,1,4,1,1,1,1,1,3,3,2,3,4,4,1,4,4,3,4,4,6
7,73,1,11,16,16,1,2,1,2,2,7,1,1,6,4/24/2024,.370261566,1,1,3,3,4,3,3,3,4,2,2,1,5,4,3,4,2,2,2,3,2,2,-9,1,-9,-9,1,8,4,9,4,1,3,3,3,3,2,5,1,1,1,7,7,4,3,5,3,4,4,4,4,3,1,6,5,3,4,4,5,1,1,3,3,3,5,1,1,4,3,5,4,1,5,3,1,4,5,3,5,2,2,2,2,2,2,2,1,1,6,3,3,1,1,1,0,1,0,1,3,3,3,5,5,5,1,7,6,5,7,6,7
8,65,1,7,11,12,1,2,1,2,2,3,1,1,3,4/24/2024,.446343976,1,1,4,4,5,4,4,5,4,4,4,1,5,3,4,4,4,2,3,4,4,3,-9,-9,1,-9,1,5,5,5,7,1,4,6,5,4,2,4,1,2,4,5,6,5,5,3,3,6,6,3,3,5,4,3,5,5,4,3,4,1,5,5,5,4,3,4,1,5,2,5,3,3,5,5,3,2,6,3,3,2,1,1,2,2,2,2,2,1,5,2,6,1,6,1,6,1,4,1,1,3,3,3,3,3,1,5,6,5,5,5,3
9,61,2,7,18,15,1,2,1,2,2,1,1,1,5,4/23/2024,.564648545,1,1,2,3,1,3,2,3,6,1,2,1,3,3,3,4,2,3,2,2,2,3,-9,-9,1,-9,1,2,4,6,7,1,1,3,2,2,3,2,1,2,3,6,6,5,2,3,1,5,5,2,3,1,1,6,7,2,2,7,6,1,1,2,1,4,7,3,1,5,2,2,3,3,5,4,2,3,2,3,4,2,2,1,2,2,2,2,2,1,3,2,7,1,4,1,4,1,6,1,2,1,1,1,1,3,1,2,2,2,2,2,1
10,68,1,11,17,12,1,2,1,2,2,1,2,1,6,4/23/2024,.706458307,1,1,4,4,6,6,3,6,5,4,3,1,4,3,6,3,6,6,5,3,4,2,-9,1,-9,-9,1,11,1,7,7,1,4,2,6,1,1,1,1,2,5,5,7,7,1,1,4,7,2,6,6,6,6,4,2,6,4,4,7,1,4,5,1,4,4,1,1,7,4,2,3,7,1,7,7,4,4,2,4,2,1,2,2,2,2,2,2,1,3,4,4,1,10,1,8,1,8,1,3,4,4,3,1,5,1,2,3,4,4,3,1
