claim,paper,computed,source_runs,status
Tier P: real-persona rank fidelity (package index) [paper cites ~0.62],0.62,0.6212,"run_6457850,run_6457851,run_6457852",PASS
Tier P: real-persona rank fidelity (per-policy mean),0.42,0.4176,run_6457850-6457858,PASS
Tier P: no-persona rho ~ 0 (opinions collapse),0.02,0.0171,run_6457850-6457858,PASS
Tier P: stranger-persona rho vs OWN opinion ~ 0,-0.1,-0.0986,run_6457850-6457858,PASS
"Tier P: residual pro-climate bias, real arm (package, points)",0.636,0.6356,run_6457850-6457858,PASS
Tier P: real-persona rank fidelity (package index) [paper cites ~0.62],0.62,0.6212,"run_6457850,run_6457851,run_6457852",PASS
Tier P: real-persona rank fidelity (per-policy mean),0.42,0.4176,run_6457850-6457858,PASS
Tier P: no-persona rho ~ 0 (opinions collapse),0.02,0.0171,run_6457850-6457858,PASS
Tier P: stranger-persona rho vs OWN opinion ~ 0,-0.1,-0.0986,run_6457850-6457858,PASS
"Tier P: residual pro-climate bias, real arm (package, points)",0.636,0.6356,run_6457850-6457858,PASS
"Tier 1: reach effect (pro-dominant - sceptic-dominant), whole population",0.423,0.4228,"run_6458327_tier1_green_dom_s42,run_6458328_tier1_green_dom_s43,run_6458329_tier1_green_dom_s44,run_6458330_tier1_reform_dom_s42,run_6458331_tier1_reform_dom_s43,run_6458332_tier1_reform_dom_s44",PASS
Tier 1: among those who hear both sides (both bucket),0.498,0.4981,tier1 both-bucket,PASS
Tier 1: spillover to the no-broadcast bucket (two-step flow via peers),0.248,0.2481,tier1 neither-bucket,PASS
Tier 1: placebo - pro-side pushes UP vs the silent world,0.324,0.3244,tier1 green-vs-neither,PASS
Tier 1: placebo - sceptic-side pushes DOWN vs the silent world,-0.098,-0.0983,tier1 reform-vs-neither,PASS
Tier 2: RAW ruler reproduces the Tier-1 reach effect,0.423,0.4228,tier1 (re-analysis),PASS
Tier 2: headroom ruler (ceiling-free),0.197,-1110.9203,tier1 re-analysis (NB 40 canonical),INFO
Tier 2: logit ruler (ceiling-free),0.695,0.8638,tier1 re-analysis (NB 40 canonical),INFO
Tier 2: rank ruler (pure ordinal),0.088,0.0876,tier1 re-analysis (NB 40 canonical),INFO
Tier 3 network: stochastic-block-model reach effect,0.423,0.4228,tier1 SBM,PASS
Tier 3 network: Barabasi-Albert (scale-free/hubs) reach effect,0.337,0.3367,"run_6475088_tier3_ba_greendom_s42,run_6475089_tier3_ba_reformdom_s42,run_6480780_tier3_ba_greendom_s43,run_6480781_tier3_ba_reformdom_s43,run_6480782_tier3_ba_greendom_s44,run_6480783_tier3_ba_reformdom_s44",PASS
Tier 3 network: Watts-Strogatz (small-world) reach effect,0.36,0.36,"run_6475091_tier3_ws_greendom_s42,run_6475092_tier3_ws_reformdom_s42,run_6480298_tier3_ws_reformdom_s43,run_6480300_tier3_ws_greendom_s44,run_6480301_tier3_ws_reformdom_s44,run_6480784_tier3_ws_greendom_s43",PASS
"Tier 3 model: Llama-3.1-8B reach effect (single seed, direction only)",1.477,1.4767,"run_6479341_tier3_llama8b_greendom_s42,run_6479390_tier3_llama8b_reformdom_s42",PASS
